source,target,confidence,method,status,evidence,alternatives
%N-bin,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://libemf.sourceforge.net' as 'libemf' but desc overlap only 0.00; versions '4.0.5' vs '1.0.8'; no lookalikes either,
%N-canna,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,canna
%N-dev,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://openjade.sourceforge.net/' as 'opensp' but desc overlap only 0.03; no lookalikes either,
%N-gimp-plugin,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,gimp-lqr-plugin
%N-lib,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,zenlib
%N-shlibs,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://openjade.sourceforge.net/' as 'opensp' but desc overlap only 0.02; versions '5.4.6' vs '1.5.2'; no lookalikes either,
"%N-shlibs Depends: << libjpeg9-shlibs, libpng16-shlibs, macosx << Conflicts: fltk Replaces: fltk BuildDependsOnly: false Files:  << lib/%N/lib/*.1.3.dylib bin/%N-config << Shlibs: << %p/lib/fltk13-aqua/lib/libfltk.1.3.dylib 			1.3.0 %n (>=1.3.0-1) %p/lib/fltk13-aqua/lib/libfltk_forms.1.3.dylib 		1.3.0 %n (>=1.3.0-1) %p/lib/fltk13-aqua/lib/libfltk_gl.1.3.dylib 		1.3.0 %n (>=1.3.0-1) %p/lib/fltk13-aqua/lib/libfltk_images.1.3.dylib 	1.3.0 %n (>=1.3.0-1) << DescUsage: << This package contains the shared libraries. Any package that Depends on this one and builds an app bundle may need to have the following in a PostInstScript: fltk13-aqua-config.aqua --post <name of executable> where <name of executable> is the real executable, not just the app bundle. This is because even if the package is set up properly, packing the .deb appears to clobber the resource fork. << DocFiles: CHANGES COPYING CREDITS README README.OSX.txt",,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'http://www.fltk.org/' as 'fltk' but desc overlap only 0.05; no lookalikes either,
0verkill,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
2mandvd,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
2mandvd-mac,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
