source,target,confidence,method,status,evidence,alternatives
py314-litellm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-litellm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-litellm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-fastuuid,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-fastuuid,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-fastuuid,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
webdump,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-gguf,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-gguf,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-gguf,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-mistral-common,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-mistral-common,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-mistral-common,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-torchsummary,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-torchsummary,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-torchsummary,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-torchsummary,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-rpy2-robjects,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-rpy2,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-rpy2-rinterface,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
tree-sitter-tcl,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
tuic,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
